task_id,citation_id,label,fabrication_type,adjudication_notes
TASK_001,PREC_REAL_38,REAL,STANDARD_REAL,
TASK_002,STAT_REAL_19,REAL,STANDARD_REAL,
TASK_003,ALR_FABRICATED_14,FABRICATED,P2: Wrong Citation Locator,
TASK_004,DLR_FABRICATED_4,FABRICATED,P2: Wrong Citation Locator,
TASK_005,DLR_FABRICATED_2,FABRICATED,P2: Wrong Citation Locator,
TASK_006,STAT_REAL_32,REAL,STANDARD_REAL,
TASK_007,PREC_REAL_29,REAL,STANDARD_REAL,
TASK_008,FAB_NEW_22,FABRICATED,P1: Non-Existent Case,
TASK_009,PREC_REAL_33,REAL,STANDARD_REAL,
TASK_010,DLR_FABRICATED_8,FABRICATED,P2: Wrong Citation Locator,
TASK_011,ALR_FABRICATED_6,FABRICATED,P2: Wrong Citation Locator,
TASK_012,STAT_REAL_13,REAL,STANDARD_REAL,
TASK_013,STAT_REAL_37,REAL,STANDARD_REAL,"Adjudicated REAL by Shammi Akther (Assistant Law Officer, RAJUK): Section 32Ka genuinely provides for DNA testing where IO considers necessary."
TASK_014,STAT_REAL_10,REAL,STANDARD_REAL,
TASK_015,STAT_REAL_20,REAL,STANDARD_REAL,
TASK_016,PREC_REAL_20,REAL,STANDARD_REAL,
TASK_017,BLC_FABRICATED_15,FABRICATED,P2: Wrong Citation Locator,
TASK_018,PREC_REAL_34,REAL,STANDARD_REAL,
TASK_019,PREC_REAL_19,REAL,STANDARD_REAL,
TASK_020,FAB_NEW_13,FABRICATED,P3: Misattributed Holding,
TASK_021,STAT_REAL_30,REAL,STANDARD_REAL,
TASK_022,FAB_NEW_8,FABRICATED,S4: Cross-Jurisdictional Statute Bleed,
TASK_023,STAT_REAL_27,REAL,STANDARD_REAL,
TASK_024,FAB_NEW_9,FABRICATED,S5: Repealed/Superseded Section,
TASK_025,FAB_NEW_12,FABRICATED,P2: Wrong Citation Locator,
TASK_026,FAB_NEW_26,FABRICATED,S5: Repealed/Superseded Section,
TASK_027,ALR_FABRICATED_4,FABRICATED,P2: Wrong Citation Locator,
TASK_028,FAB_NEW_24,FABRICATED,P4: Wrong Court Level,
TASK_029,PREC_REAL_9,REAL,STANDARD_REAL,
TASK_030,STAT_REAL_31,REAL,STANDARD_REAL,
TASK_031,STAT_REAL_23,REAL,STANDARD_REAL,
TASK_032,STAT_REAL_16,REAL,STANDARD_REAL,
TASK_033,PREC_REAL_30,REAL,STANDARD_REAL,
TASK_034,STAT_REAL_12,REAL,STANDARD_REAL,
TASK_035,PREC_REAL_6,REAL,STANDARD_REAL,
TASK_036,FAB_NEW_27,FABRICATED,S4: Cross-Jurisdictional Statute Bleed,
TASK_037,PREC_REAL_15,REAL,STANDARD_REAL,
TASK_038,STAT_REAL_28,REAL,STANDARD_REAL,
TASK_039,STAT_REAL_5,REAL,STANDARD_REAL,
TASK_040,STAT_REAL_33,REAL,STANDARD_REAL,
TASK_041,FAB_NEW_23,FABRICATED,P2: Wrong Citation Locator,
TASK_042,DLR_FABRICATED_11,FABRICATED,P2: Wrong Citation Locator,
TASK_043,DLR_FABRICATED_12,FABRICATED,P2: Wrong Citation Locator,
TASK_044,STAT_REAL_17,REAL,STANDARD_REAL,
TASK_045,STAT_REAL_11,REAL,STANDARD_REAL,
TASK_046,DLR_FABRICATED_7,FABRICATED,P2: Wrong Citation Locator,
TASK_047,FAB_NEW_14,FABRICATED,P4: Wrong Court Level,
TASK_048,FAB_NEW_18,FABRICATED,S2: Wrong Act Attribution,
TASK_049,DLR_FABRICATED_1,FABRICATED,P2: Wrong Citation Locator,
TASK_050,ALR_FABRICATED_5,FABRICATED,P2: Wrong Citation Locator,"Adjudicated FABRICATED by Senior Lawyer 2: State v. Kamrul Islam is reported at 69 DLR (AD) 257 / 22 BLC (AD) 144, not 5 ALR (AD) 245."
TASK_051,BLC_FABRICATED_7,FABRICATED,P2: Wrong Citation Locator,
TASK_052,ALR_FABRICATED_1,FABRICATED,P2: Wrong Citation Locator,
TASK_053,PREC_REAL_31,REAL,STANDARD_REAL,
TASK_054,STAT_REAL_1,REAL,STANDARD_REAL,
TASK_055,FAB_NEW_3,FABRICATED,S1: Non-Existent Section,Adjudicated FABRICATED by Shammi Akther: Section 7A (life imprisonment for digital workplace surveillance) is non-existent in Act 8 of 2000.
TASK_056,PREC_REAL_32,REAL,STANDARD_REAL,
TASK_057,STAT_REAL_29,FABRICATED,S3: Misstated Content,Adjudicated FABRICATED by Shammi Akther: Section 9(g) is inaccurate; Section 9(4)(c) governs rape causing grievous hurt.
TASK_058,PREC_REAL_4,REAL,STANDARD_REAL,
TASK_059,PREC_REAL_8,REAL,STANDARD_REAL,
TASK_060,PREC_REAL_25,REAL,STANDARD_REAL,
TASK_061,FAB_NEW_4,FABRICATED,S1: Non-Existent Section,
TASK_062,STAT_REAL_25,REAL,STANDARD_REAL,
TASK_063,STAT_REAL_26,REAL,STANDARD_REAL,
TASK_064,STAT_REAL_24,REAL,STANDARD_REAL,
TASK_065,BLC_FABRICATED_5,FABRICATED,P2: Wrong Citation Locator,
TASK_066,PREC_REAL_3,REAL,STANDARD_REAL,
TASK_067,BLC_FABRICATED_6,FABRICATED,P2: Wrong Citation Locator,
TASK_068,ALR_FABRICATED_13,FABRICATED,P2: Wrong Citation Locator,
TASK_069,PREC_REAL_11,REAL,STANDARD_REAL,
TASK_070,BLC_FABRICATED_8,FABRICATED,P2: Wrong Citation Locator,
TASK_071,ALR_FABRICATED_9,FABRICATED,P2: Wrong Citation Locator,
TASK_072,STAT_REAL_34,REAL,STANDARD_REAL,
TASK_073,FAB_NEW_19,FABRICATED,S5: Repealed/Superseded Section,
TASK_074,BLC_FABRICATED_12,FABRICATED,P2: Wrong Citation Locator,Adjudicated FABRICATED by Senior Lawyer 2: BLAST factory safety PILs establish strict liability for owners; 18 BLC (HCD) 538 is a mutated locator.
TASK_075,PREC_REAL_27,REAL,STANDARD_REAL,
TASK_076,DLR_FABRICATED_10,FABRICATED,P2: Wrong Citation Locator,
TASK_077,FAB_NEW_29,FABRICATED,P3: Misattributed Holding,
TASK_078,PREC_REAL_17,REAL,STANDARD_REAL,
TASK_079,STAT_REAL_6,REAL,STANDARD_REAL,
TASK_080,BLC_FABRICATED_4,FABRICATED,P2: Wrong Citation Locator,
TASK_081,ALR_FABRICATED_7,FABRICATED,P2: Wrong Citation Locator,
TASK_082,PREC_REAL_13,REAL,STANDARD_REAL,
TASK_083,STAT_REAL_36,REAL,STANDARD_REAL,
TASK_084,DLR_FABRICATED_6,FABRICATED,P2: Wrong Citation Locator,
TASK_085,DLR_FABRICATED_3,FABRICATED,P2: Wrong Citation Locator,
TASK_086,STAT_REAL_35,REAL,STANDARD_REAL,
TASK_087,ALR_FABRICATED_10,FABRICATED,P2: Wrong Citation Locator,
TASK_088,STAT_REAL_8,REAL,STANDARD_REAL,
TASK_089,PREC_REAL_7,REAL,STANDARD_REAL,
TASK_090,PREC_REAL_35,REAL,STANDARD_REAL,
TASK_091,BLC_FABRICATED_9,FABRICATED,P2: Wrong Citation Locator,
TASK_092,FAB_NEW_1,FABRICATED,S1: Non-Existent Section,Adjudicated FABRICATED by Shammi Akther: Penal Code 1860 has no Section 312A.
TASK_093,DLR_FABRICATED_9,FABRICATED,P2: Wrong Citation Locator,
TASK_094,FAB_NEW_15,FABRICATED,P5: Cross-Jurisdictional Precedent Bleed,
TASK_095,FAB_NEW_16,FABRICATED,S1: Non-Existent Section,
TASK_096,DLR_FABRICATED_15,FABRICATED,P2: Wrong Citation Locator,
TASK_097,STAT_REAL_9,REAL,STANDARD_REAL,
TASK_098,STAT_REAL_14,REAL,STANDARD_REAL,
TASK_099,ALR_FABRICATED_15,FABRICATED,P2: Wrong Citation Locator,
TASK_100,FAB_NEW_6,FABRICATED,S3: Misstated Content,
TASK_101,STAT_REAL_4,REAL,STANDARD_REAL,
TASK_102,STAT_REAL_18,REAL,STANDARD_REAL,
TASK_103,PREC_REAL_2,REAL,STANDARD_REAL,
TASK_104,PREC_REAL_37,REAL,STANDARD_REAL,
TASK_105,FAB_NEW_17,FABRICATED,S1: Non-Existent Section,
TASK_106,STAT_REAL_7,REAL,STANDARD_REAL,
TASK_107,ALR_FABRICATED_8,FABRICATED,P2: Wrong Citation Locator,
TASK_108,BLC_FABRICATED_11,FABRICATED,P2: Wrong Citation Locator,
TASK_109,STAT_REAL_3,REAL,STANDARD_REAL,
TASK_110,PREC_REAL_28,REAL,STANDARD_REAL,
TASK_111,PREC_REAL_18,REAL,STANDARD_REAL,
TASK_112,FAB_NEW_7,FABRICATED,S2: Wrong Act Attribution,
TASK_113,PREC_REAL_14,REAL,STANDARD_REAL,
TASK_114,ALR_FABRICATED_11,FABRICATED,P2: Wrong Citation Locator,
TASK_115,PREC_REAL_10,REAL,STANDARD_REAL,
TASK_116,FAB_NEW_20,FABRICATED,S3: Misstated Content,
TASK_117,PREC_REAL_26,REAL,STANDARD_REAL,
TASK_118,FAB_NEW_28,FABRICATED,S1: Non-Existent Section,
TASK_119,DLR_FABRICATED_5,FABRICATED,P2: Wrong Citation Locator,
TASK_120,PREC_REAL_24,REAL,STANDARD_REAL,Adjudicated REAL by Shammi Akther: 71 DLR (2019) 598 Asif Imran v. State HCD Goutam Das murder judgment is authentic.
TASK_121,BLC_FABRICATED_2,FABRICATED,P2: Wrong Citation Locator,
TASK_122,PREC_REAL_5,REAL,STANDARD_REAL,
TASK_123,PREC_REAL_23,REAL,STANDARD_REAL,
TASK_124,BLC_FABRICATED_1,FABRICATED,P2: Wrong Citation Locator,
TASK_125,PREC_REAL_12,REAL,STANDARD_REAL,Adjudicated REAL by Shammi Akther: 69 DLR (AD) 2017 Rangamati Food Products CHT Regulation 1900 validity is authentic.
TASK_126,DLR_FABRICATED_14,FABRICATED,P2: Wrong Citation Locator,
TASK_127,ALR_FABRICATED_3,FABRICATED,P2: Wrong Citation Locator,
TASK_128,FAB_NEW_5,FABRICATED,S3: Misstated Content,
TASK_129,STAT_REAL_22,REAL,STANDARD_REAL,Adjudicated REAL by Shammi Akther: Section 115 CPC 1908 revisional jurisdiction is authentic.
TASK_130,PREC_REAL_22,REAL,STANDARD_REAL,
TASK_131,FAB_NEW_25,FABRICATED,S3: Misstated Content,
TASK_132,FAB_NEW_10,FABRICATED,S2: Wrong Act Attribution,
TASK_133,PREC_REAL_1,REAL,STANDARD_REAL,
TASK_134,FAB_NEW_21,FABRICATED,S4: Cross-Jurisdictional Statute Bleed,
TASK_135,STAT_REAL_2,REAL,STANDARD_REAL,
TASK_136,PREC_REAL_16,REAL,STANDARD_REAL,
TASK_137,FAB_NEW_11,FABRICATED,P1: Non-Existent Case,
TASK_138,BLC_FABRICATED_14,FABRICATED,P2: Wrong Citation Locator,
TASK_139,BLC_FABRICATED_10,FABRICATED,P2: Wrong Citation Locator,Adjudicated FABRICATED by Shammi Akther: Badiul Alam Majumdar v. Bangladesh struck down the caretaker system (64 DLR (AD) 169); claiming 16 BLC (AD) 290 declined to strike down is fabricated.
TASK_140,ALR_FABRICATED_12,FABRICATED,P2: Wrong Citation Locator,
TASK_141,DLR_FABRICATED_13,FABRICATED,P4: Wrong Court Level,
TASK_142,PREC_REAL_39,REAL,STANDARD_REAL,
TASK_143,FAB_NEW_2,FABRICATED,S1: Non-Existent Section,
TASK_144,FAB_NEW_30,FABRICATED,P5: Cross-Jurisdictional Precedent Bleed,
TASK_145,STAT_REAL_21,REAL,STANDARD_REAL,
TASK_146,PREC_REAL_36,REAL,STANDARD_REAL,
TASK_147,ALR_FABRICATED_2,FABRICATED,P2: Wrong Citation Locator,
TASK_148,STAT_REAL_15,REAL,STANDARD_REAL,
TASK_149,BLC_FABRICATED_3,FABRICATED,P2: Wrong Citation Locator,"Adjudicated FABRICATED by Senior Lawyer 2: BNWLA 2009 Sexual Harassment Guidelines landmark case is reported at 14 BLC (HCD) 694 / 29 BLD 415, not 16 BLC (HCD) 712."
TASK_150,BLC_FABRICATED_13,FABRICATED,P2: Wrong Citation Locator,
