task_id,label,fabrication_type,citation_id_category,reporter_bucket
TASK_001,REAL,STANDARD_REAL,Precedent,DLR
TASK_002,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_003,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_004,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_005,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_006,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_007,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_008,FABRICATED,P1: Non-Existent Case,FAB_NEW,DLR
TASK_009,REAL,STANDARD_REAL,Precedent,DLR
TASK_010,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_011,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_012,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_013,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_014,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_015,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_016,REAL,STANDARD_REAL,Precedent,DLR
TASK_017,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_018,REAL,STANDARD_REAL,Precedent,DLR
TASK_019,REAL,STANDARD_REAL,Precedent,DLR
TASK_020,FABRICATED,P3: Misattributed Holding,FAB_NEW,DLR
TASK_021,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_022,FABRICATED,S4: Cross-Jurisdictional Statute Bleed,FAB_NEW,STATUTE_OR_OTHER
TASK_023,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_024,FABRICATED,S5: Repealed/Superseded Section,FAB_NEW,STATUTE_OR_OTHER
TASK_025,FABRICATED,P2: Wrong Citation Locator,FAB_NEW,BLC
TASK_026,FABRICATED,S5: Repealed/Superseded Section,FAB_NEW,STATUTE_OR_OTHER
TASK_027,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_028,FABRICATED,P4: Wrong Court Level,FAB_NEW,DLR
TASK_029,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_030,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_031,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_032,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_033,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_034,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_035,REAL,STANDARD_REAL,Precedent,DLR
TASK_036,FABRICATED,S4: Cross-Jurisdictional Statute Bleed,FAB_NEW,STATUTE_OR_OTHER
TASK_037,REAL,STANDARD_REAL,Precedent,DLR
TASK_038,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_039,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_040,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_041,FABRICATED,P2: Wrong Citation Locator,FAB_NEW,DLR
TASK_042,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_043,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_044,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_045,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_046,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_047,FABRICATED,P4: Wrong Court Level,FAB_NEW,DLR
TASK_048,FABRICATED,S2: Wrong Act Attribution,FAB_NEW,STATUTE_OR_OTHER
TASK_049,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_050,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_051,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_052,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_053,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_054,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_055,FABRICATED,S1: Non-Existent Section,FAB_NEW,STATUTE_OR_OTHER
TASK_056,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_057,FABRICATED,S3: Misstated Content,Statute,STATUTE_OR_OTHER
TASK_058,REAL,STANDARD_REAL,Precedent,DLR
TASK_059,REAL,STANDARD_REAL,Precedent,DLR
TASK_060,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_061,FABRICATED,S1: Non-Existent Section,FAB_NEW,STATUTE_OR_OTHER
TASK_062,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_063,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_064,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_065,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_066,REAL,STANDARD_REAL,Precedent,DLR
TASK_067,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_068,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_069,REAL,STANDARD_REAL,Precedent,DLR
TASK_070,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_071,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_072,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_073,FABRICATED,S5: Repealed/Superseded Section,FAB_NEW,STATUTE_OR_OTHER
TASK_074,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_075,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_076,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_077,FABRICATED,P3: Misattributed Holding,FAB_NEW,DLR
TASK_078,REAL,STANDARD_REAL,Precedent,DLR
TASK_079,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_080,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_081,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_082,REAL,STANDARD_REAL,Precedent,DLR
TASK_083,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_084,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_085,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_086,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_087,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_088,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_089,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_090,REAL,STANDARD_REAL,Precedent,DLR
TASK_091,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_092,FABRICATED,S1: Non-Existent Section,FAB_NEW,STATUTE_OR_OTHER
TASK_093,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_094,FABRICATED,P5: Cross-Jurisdictional Precedent Bleed,FAB_NEW,STATUTE_OR_OTHER
TASK_095,FABRICATED,S1: Non-Existent Section,FAB_NEW,STATUTE_OR_OTHER
TASK_096,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_097,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_098,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_099,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_100,FABRICATED,S3: Misstated Content,FAB_NEW,STATUTE_OR_OTHER
TASK_101,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_102,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_103,REAL,STANDARD_REAL,Precedent,DLR
TASK_104,REAL,STANDARD_REAL,Precedent,DLR
TASK_105,FABRICATED,S1: Non-Existent Section,FAB_NEW,STATUTE_OR_OTHER
TASK_106,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_107,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_108,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_109,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_110,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_111,REAL,STANDARD_REAL,Precedent,DLR
TASK_112,FABRICATED,S2: Wrong Act Attribution,FAB_NEW,STATUTE_OR_OTHER
TASK_113,REAL,STANDARD_REAL,Precedent,DLR
TASK_114,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_115,REAL,STANDARD_REAL,Precedent,DLR
TASK_116,FABRICATED,S3: Misstated Content,FAB_NEW,STATUTE_OR_OTHER
TASK_117,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_118,FABRICATED,S1: Non-Existent Section,FAB_NEW,STATUTE_OR_OTHER
TASK_119,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_120,REAL,STANDARD_REAL,Precedent,DLR
TASK_121,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_122,REAL,STANDARD_REAL,Precedent,DLR
TASK_123,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_124,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_125,REAL,STANDARD_REAL,Precedent,DLR
TASK_126,FABRICATED,P2: Wrong Citation Locator,OTHER,DLR
TASK_127,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_128,FABRICATED,S3: Misstated Content,FAB_NEW,STATUTE_OR_OTHER
TASK_129,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_130,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_131,FABRICATED,S3: Misstated Content,FAB_NEW,STATUTE_OR_OTHER
TASK_132,FABRICATED,S2: Wrong Act Attribution,FAB_NEW,STATUTE_OR_OTHER
TASK_133,REAL,STANDARD_REAL,Precedent,DLR
TASK_134,FABRICATED,S4: Cross-Jurisdictional Statute Bleed,FAB_NEW,STATUTE_OR_OTHER
TASK_135,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_136,REAL,STANDARD_REAL,Precedent,DLR
