citation_id,citation,context,source,extracted_url,fabrication_type,label
STAT_REAL_1,"Section 302, Penal Code, 1860","Under the Penal Code, 1860, what section outlines the punishment for murder, specifying death or life imprisonment?",Statute,https://www.lawyersnjurists.com/article/murder-and-culpable-homicide/,N/A,REAL
STAT_REAL_2,"Section 376, Penal Code, 1860",Which section of the Penal Code penalizes rape with life imprisonment or rigorous imprisonment for up to ten years?,Statute,https://www.lawyersnjurists.com/article/rape-law-in-bangladesh/,N/A,REAL
STAT_REAL_3,"Section 420, Penal Code, 1860",What section of the Penal Code criminalizes cheating and dishonestly inducing the delivery of property?,Statute,https://www.lawyersnjurists.com/article/cheating-and-dishonest-intention-in-bangladesh-law/,N/A,REAL
STAT_REAL_4,"Section 34, Penal Code, 1860",Which section of the Penal Code establishes the principle of joint liability for acts done by several persons in furtherance of a common intention?,Statute,http://bdlaws.minlaw.gov.bd/act-311/section-34.html,N/A,REAL
STAT_REAL_5,"Section 406, Penal Code, 1860",Which section prescribes the punishment for criminal breach of trust?,Statute,http://bdlaws.minlaw.gov.bd/act-11.html,N/A,REAL
STAT_REAL_6,"Section 326, Penal Code, 1860",What section outlines the offense of voluntarily causing grievous hurt by dangerous weapons or means?,Statute,https://bdlaws.minlaw.gov.bd/act-11.html,N/A,REAL
STAT_REAL_7,"Section 120A, Penal Code, 1860",Which section defines the offense of criminal conspiracy?,Statute,http://bdlaws.minlaw.gov.bd/act-11.html,N/A,REAL
STAT_REAL_8,"Section 468, Penal Code, 1860",What section prescribes the punishment for forgery committed for the purpose of cheating?,Statute,http://bdlaws.minlaw.gov.bd/act-11/section-468.html,N/A,REAL
STAT_REAL_9,"Section 395, Penal Code, 1860",Which section outlines the punishment for the offense of dacoity?,Statute,http://bdlaws.minlaw.gov.bd/act-366.html,N/A,REAL
STAT_REAL_10,"Section 304, Penal Code, 1860",What section defines the punishment for culpable homicide not amounting to murder?,Statute,http://bdlaws.minlaw.gov.bd/act-11.html,N/A,REAL
STAT_REAL_11,"Section 173, Code of Criminal Procedure, 1898",Which section of the CrPC mandates that the police officer in charge must forward a final report or charge sheet upon completion of an investigation?,Statute,http://bdlaws.minlaw.gov.bd/act-5.html,N/A,REAL
STAT_REAL_12,"Section 497, Code of Criminal Procedure, 1898",What section of the CrPC governs the granting of bail in non-bailable offences by a Court or police officer?,Statute,http://bdlaws.minlaw.gov.bd/act-680.html,N/A,REAL
STAT_REAL_13,"Section 561A, Code of Criminal Procedure, 1898",Which section preserves the inherent power of the High Court Division to make such orders as may be necessary to prevent abuse of the process of any court or secure the ends of justice?,Statute,http://bdlaws.minlaw.gov.bd/act-367.html,N/A,REAL
STAT_REAL_14,"Section 154, Code of Criminal Procedure, 1898","Which section relates to the recording of information in cognizable cases, commonly known as the First Information Report (FIR)?",Statute,http://bdlaws.minlaw.gov.bd/act-5.html,N/A,REAL
STAT_REAL_15,"Section 164, Code of Criminal Procedure, 1898",What section authorizes a Magistrate to record statements and confessions made during the course of an investigation?,Statute,https://bdlaws.minlaw.gov.bd/act-417.html,N/A,REAL
STAT_REAL_16,"Section 144, Code of Criminal Procedure, 1898",Which section empowers a Magistrate to issue immediate orders in urgent cases of nuisance or apprehended danger to public tranquility?,Statute,https://bdlaws.minlaw.gov.bd/act-11.html,N/A,REAL
STAT_REAL_17,"Section 342, Code of Criminal Procedure, 1898",What section grants the court the power to examine the accused at any stage of the inquiry or trial to enable them to explain any circumstances appearing in the evidence against them?,Statute,http://bdlaws.minlaw.gov.bd/act-684.html,N/A,REAL
STAT_REAL_18,"Section 241A, Code of Criminal Procedure, 1898",Which section allows a Magistrate to discharge the accused in a warrant case if the charge is groundless?,Statute,http://bdlaws.minlaw.gov.bd/act-415.html,N/A,REAL
STAT_REAL_19,"Section 265C, Code of Criminal Procedure, 1898",What section provides for the discharge of the accused in a trial before a Court of Session if there is no sufficient ground for proceeding?,Statute,http://bdlaws.minlaw.gov.bd/act-75.html,N/A,REAL
STAT_REAL_20,"Section 498, Code of Criminal Procedure, 1898","Which section allows the High Court Division or Court of Session to direct that any person be admitted to bail, encompassing the power to grant anticipatory bail?",Statute,http://bdlaws.minlaw.gov.bd/act-267.html,N/A,REAL
STAT_REAL_21,"Section 11, Code of Civil Procedure, 1908","Which section of the CPC codifies the doctrine of res judicata, barring the trial of an issue already decided in a former suit between the same parties?",Statute,http://bdlaws.minlaw.gov.bd/act-367.html,N/A,REAL
STAT_REAL_22,"Section 115, Code of Civil Procedure, 1908",What section grants revisional jurisdiction to the High Court Division over decisions of subordinate courts where no appeal lies?,Statute,https://www.lawyersnjurists.com/article/civil-law/code-of-civil-procedure/revisional-jurisdiction-under-section-115-of-the-code-of-civil-procedure/,N/A,REAL
STAT_REAL_23,"Section 151, Code of Civil Procedure, 1908",Which provision preserves the inherent power of the civil court to make orders necessary for the ends of justice or to prevent abuse of the process of the court?,Statute,http://bdlaws.minlaw.gov.bd/act-613.html,N/A,REAL
STAT_REAL_24,"Order 39, Rule 1, Code of Civil Procedure, 1908","Under what Order and Rule can a civil court grant a temporary injunction to prevent property from being wasted, damaged, or alienated?",Statute,http://bdlaws.minlaw.gov.bd/act-367.html,N/A,REAL
STAT_REAL_25,"Order 7, Rule 11, Code of Civil Procedure, 1908",Which provision mandates the rejection of a plaint if it does not disclose a cause of action or if the suit is barred by law?,Statute,http://bdlaws.minlaw.gov.bd/,N/A,REAL
STAT_REAL_26,"Order 9, Rule 13, Code of Civil Procedure, 1908",Under what provision can a defendant apply to set aside a decree passed ex parte against them?,Statute,http://bdlaws.minlaw.gov.bd/act-331.html,N/A,REAL
STAT_REAL_27,"Order 41, Rule 27, Code of Civil Procedure, 1908",Which provision allows an Appellate Court to admit additional evidence or documents under specific circumstances?,Statute,http://bdlaws.minlaw.gov.bd/act_details.php?id=11,N/A,REAL
STAT_REAL_28,"Section 4, Nari O Shishu Nirjatan Daman Act, 2000 (As amended)","According to the Nari O Shishu Nirjatan Daman Act, what section provides for the realization of fines and compensation from the convict?",Statute,http://bdlaws.minlaw.gov.bd/act-424/section-4.html,N/A,REAL
